recurrence,state_norm,perturbation_distance,perturbation_survival,trajectory_divergence,jacobian_max_gain,jacobian_effective_rank,contraction_expansion
1,0.008229354995085942,7.437171231632575e-7,0.07437171231632574,-2.5986796202436175,0.0907509944842824,15.956111595170492,0.07437171231632574
2,0.007350054310432018,8.227509982913628e-8,0.008227509982913628,-2.4001359318941082,0.09075098510541331,15.957674796724444,0.008227509982913628
4,0.007475104618370881,2.007305312456425e-9,0.00020073053124564249,-2.1283867974841755,0.0941076068891528,15.94859656388711,0.00020073053124564249
8,0.007481149291953708,2.257830603754447e-12,2.257830603754447e-7,-1.9129614010657232,0.09410760692165322,15.953605212170825,2.257830603754447e-7
16,0.007481166631998734,1.3562435158151327e-17,1.3562435158151326e-12,-1.7078938974124467,0.09410760692171209,15.951111966206698,1.3562435158151326e-12
32,0.007481166632152049,0.0,0.0,-22.137388079133252,0.09000724967911918,15.957534536333112,0.0
