candidate,seed,gamma,coupling_scale,nonlinear_strength,loss,input_injection,noise,connectivity_radius,peak_norm_through_t32,norm_t32,survival_t16,survival_t32,effective_rank_t32,effective_rank_retention,noise_adjusted_capacity_bits,cycle_period,input_separation,nonlinear_effect,accepted,failure_reasons
candidate-0,101,0.03,1.0,0.5,0.98,0.1,0.0,1,0.9723877695250419,0.44626958787964555,0.6310310920086339,0.4147972170018853,3.9999865455615775,1.0000057053780964,26.333027814706995,,0.042716822561206964,0.001313174270748972,true,
candidate-0,202,0.03,1.0,0.5,0.98,0.1,0.0,1,0.9700531297241288,0.3794002686482218,0.6178112579413906,0.38424955524012216,3.9999659499424376,0.9999943194198581,26.287470783000963,,0.019428944501131206,0.0002587382616564162,true,
candidate-0,303,0.03,1.0,0.5,0.98,0.1,0.0,1,0.9754711327296546,0.48501324045708816,0.5885267979397124,0.3513986754801008,3.999965277176005,0.9999923150824316,26.288244836896727,,0.03629835181994626,0.0013688005388484672,true,
candidate-1,101,0.03,1.0,0.5,0.98,0.3,0.0,1,0.9720830074050832,0.4293987771912286,0.6316992582965556,0.4157343753638077,3.999986374849261,1.0000060615492237,26.333814093929934,,0.12795127518251423,0.002595163364746651,true,
candidate-1,202,0.03,1.0,0.5,0.98,0.3,0.0,1,0.9699330114652741,0.37770801473574267,0.6178068614377519,0.38424237413094803,3.999965960815446,0.9999943185521197,26.2874604968046,,0.05826421934641271,0.00017064814491206523,true,
candidate-1,303,0.03,1.0,0.5,0.98,0.3,0.0,1,0.9754772654948715,0.4853726575588931,0.5883522092850924,0.35122259096353664,3.9999652873783336,0.9999923307477928,26.288120888558346,,0.10875808565384966,0.001686651621498312,true,
candidate-2,101,0.03,1.0,0.5,0.98,0.5,0.0,1,0.9717657542044267,0.41654480665818416,0.6321044268850786,0.4161379206432031,3.9999863367151094,1.0000063321613484,26.334440030514532,,0.21259213321216242,0.004543043995213216,true,
candidate-2,202,0.03,1.0,0.5,0.98,0.5,0.0,1,0.9698132676241085,0.3762536919761783,0.6178005288106146,0.38423213192686784,3.999965980762647,0.9999943195053046,26.28744754953912,,0.09703176058929269,0.00011480494691508605,true,
candidate-2,303,0.03,1.0,0.5,0.98,0.5,0.0,1,0.9754761404309987,0.4875477142076152,0.5881828142928208,0.3510414880146737,3.9999654097014594,0.999992373771106,26.287981577695525,,0.18080903137756918,0.0024390284373898333,true,
candidate-3,101,0.03,1.0,1.0,0.98,0.1,0.0,1,0.9722337004797506,0.44352160749539804,0.6297313776340955,0.41303640197944597,3.9999868837913666,1.0000050171600234,26.32929732857673,,0.04211315193795605,0.0025819917781257844,true,
candidate-3,202,0.03,1.0,1.0,0.98,0.1,0.0,1,0.970051825158414,0.37939139129515953,0.6178287985512341,0.3842587865402301,3.9999659676658217,0.9999943018768469,26.287413037028543,,0.019316869110776267,0.0005143716244865881,true,
candidate-3,303,0.03,1.0,1.0,0.98,0.1,0.0,1,0.9753780982751782,0.48338704637742075,0.5895233576992108,0.3519047031479136,3.999965979707668,0.9999924057073367,26.288381157723038,,0.03604167451973481,0.002694147970706802,true,
candidate-4,101,0.03,1.0,1.0,0.98,0.3,0.0,1,0.9719821267200494,0.4277318959307333,0.6309784531539546,0.41480141356736816,3.9999865603708478,1.0000056704843847,26.330612017686796,,0.12596478213793075,0.005062652755479019,true,
candidate-4,202,0.03,1.0,1.0,0.98,0.3,0.0,1,0.9699320604338082,0.37770007006580475,0.6178199964913497,0.38424443624669535,3.9999659893845454,0.9999943001891317,26.287392730049227,,0.05790608944879082,0.00033957259598839655,true,
candidate-4,303,0.03,1.0,1.0,0.98,0.3,0.0,1,0.97537986030693,0.48368921856516844,0.589195962628158,0.35156797771172443,3.9999660008272087,0.999992431977286,26.288158014032778,,0.10785705191063104,0.003317715050961895,true,
candidate-5,101,0.03,1.0,1.0,0.98,0.5,0.0,1,0.9717042622562398,0.4154646602082615,0.6317675054545469,0.4155833521235265,3.9999864929207343,1.0000062053395427,26.33169193578187,,0.20870621606045114,0.008779832439177796,true,
candidate-5,202,0.03,1.0,1.0,0.98,0.5,0.0,1,0.9698128348830445,0.3762476104059193,0.6178073404567065,0.3842239957527149,3.9999660291891086,0.9999943021457579,26.287367221575746,,0.09636217895679439,0.00022871242498635348,true,
candidate-5,303,0.03,1.0,1.0,0.98,0.5,0.0,1,0.9753653306326316,0.48556836226254246,0.5888820581430014,0.35122640629574703,3.9999662393479025,0.9999925108780507,26.287912013014335,,0.17887658932975797,0.004784504405981903,true,
candidate-6,101,0.03,1.0,2.0,0.98,0.1,0.0,1,0.971971693217413,0.438699550808992,0.6273989058250466,0.40987836708189174,3.999987483489389,1.0000037411379281,26.323654369883666,,0.04098533665352476,0.004996547114385569,true,
candidate-6,202,0.03,1.0,2.0,0.98,0.1,0.0,1,0.9700492414323855,0.3793737286058334,0.6178632384872256,0.3842768742511176,3.9999660031079434,0.9999942672398607,26.28730008008475,,0.019098040342210656,0.0010166062936914472,true,
candidate-6,303,0.03,1.0,2.0,0.98,0.1,0.0,1,0.9752072255805144,0.4803601433098096,0.591287547990184,0.3528617714320878,3.999967296836471,0.9999926066458512,26.288557130141527,,0.03554960899811904,0.005223864866216362,true,
candidate-7,101,0.03,1.0,2.0,0.98,0.3,0.0,1,0.9718075011537374,0.42477213784394025,0.6295863889267709,0.4130317817948406,3.999986897292687,1.0000048028691408,26.325551895901388,,0.12228854170439918,0.009654562025610113,true,
candidate-7,202,0.03,1.0,2.0,0.98,0.3,0.0,1,0.9699301783123355,0.3776842798597413,0.6178456007659459,0.38424822246389895,3.9999660464365903,0.9999942640552806,26.287260498582675,,0.05720782327246684,0.0006723848807418164,true,
candidate-7,303,0.03,1.0,2.0,0.98,0.3,0.0,1,0.9752004458823326,0.48054351952013163,0.5907095711518598,0.35224482286767006,3.9999673411720966,0.9999926444590401,26.28819679103442,,0.10613516091264795,0.0064255093048494975,true,
