run,seed,corruption,severity,recurrence,wrong_to_correct,correct_to_wrong,wrong_to_correct_probability,correct_to_wrong_probability,confidence_amplifications,confidence_amplification_probability
brief3_primary_gaussian-010_seed_20260809,20260809,gaussian,0.1,22,0,0,0.0,0.0,977,0.977
brief3_primary_gaussian-010_seed_20260809,20260809,gaussian,0.1,23,0,0,0.0,0.0,966,0.966
brief3_primary_gaussian-010_seed_20260809,20260809,gaussian,0.1,24,0,0,0.0,0.0,953,0.953
brief3_primary_gaussian-010_seed_20260809,20260809,gaussian,0.1,25,0,0,0.0,0.0,943,0.943
brief3_primary_gaussian-010_seed_20260809,20260809,gaussian,0.1,26,0,0,0.0,0.0,936,0.936
brief3_primary_gaussian-010_seed_20260809,20260809,gaussian,0.1,27,0,0,0.0,0.0,924,0.924
brief3_primary_gaussian-010_seed_20260809,20260809,gaussian,0.1,28,0,0,0.0,0.0,903,0.903
brief3_primary_gaussian-010_seed_20260809,20260809,gaussian,0.1,29,0,0,0.0,0.0,882,0.882
brief3_primary_gaussian-010_seed_20260809,20260809,gaussian,0.1,30,0,0,0.0,0.0,869,0.869
brief3_primary_gaussian-010_seed_20260809,20260809,gaussian,0.1,31,0,0,0.0,0.0,853,0.853
brief3_primary_gaussian-010_seed_20260809,20260809,gaussian,0.1,32,0,0,0.0,0.0,833,0.833
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,1,0,0,0.0,0.0,0,0.0
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,2,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,3,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,4,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,5,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,6,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,7,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,8,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,9,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,10,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,11,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,12,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,13,0,0,0.0,0.0,998,0.998
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,14,0,0,0.0,0.0,997,0.997
