run,seed,baseline,parameter_count,state_dimensionality,depth,recurrence,corruption_type,corruption_severity,accuracy,cross_entropy,entropy,per_class_accuracy,confusion_matrix,prediction_changes,wrong_to_right,right_to_wrong,wrong_to_right_probability,right_to_wrong_probability,state_difference,optical_norm,training_seconds,inference_seconds_per_recurrence,confidence_amplifications,confidence_amplification_probability
brief3_primary_gaussian-010_seed_20260809,20260809,recurrent,36,1568,1,16,gaussian,0.1,0.073,17.001381469659616,0.1447369614185748,"[0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.22988505747126436,0.202020202020202,0.23595505617977527,0.0]","[[0,0,2,0,0,0,51,0,13,19],[0,0,1,0,0,0,0,122,3,0],[0,2,12,7,0,0,1,51,43,0],[0,1,17,0,0,0,2,26,54,7],[0,0,0,0,0,0,14,30,66,0],[0,0,1,0,0,0,8,31,43,4],[0,0,4,3,0,0,20,29,28,3],[0,0,0,0,0,0,2,20,77,0],[0,0,0,0,0,0,2,66,21,0],[0,0,0,0,0,0,3,28,63,0]]",0,0,0,0,0,0.09206080412864684,4.686495014190674,0,0.0000047354625,999,0.999
brief3_primary_gaussian-010_seed_20260809,20260809,recurrent,36,1568,1,32,gaussian,0.1,0.072,23.66669295432541,0.06276040276713456,"[0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.21839080459770116,0.202020202020202,0.23595505617977527,0.0]","[[0,0,2,0,0,0,51,0,13,19],[0,0,1,0,0,0,0,122,3,0],[0,2,12,7,0,0,1,51,43,0],[0,1,17,0,0,0,2,26,54,7],[0,0,0,0,0,0,13,31,66,0],[0,0,1,0,0,0,8,31,43,4],[0,0,5,3,0,0,19,29,28,3],[0,0,0,0,0,0,2,20,77,0],[0,0,0,0,0,0,2,66,21,0],[0,0,0,0,0,0,3,28,63,0]]",1,0,0,0,0,0.05746975973248482,11.029855072021483,0,0.0000047354625,833,0.833
brief3_primary_gaussian-020_seed_20260809,20260809,recurrent,36,1568,1,1,gaussian,0.2,0.073,2.3712447048866983,2.219094168883933,"[0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.21839080459770116,0.21212121212121213,0.23595505617977527,0.0]","[[0,0,2,0,0,0,50,0,14,19],[0,0,1,0,0,0,0,122,3,0],[0,2,12,7,0,0,0,53,42,0],[0,1,16,0,0,0,2,24,57,7],[0,0,0,0,0,0,16,30,64,0],[0,0,2,0,0,0,8,30,44,3],[0,0,5,5,0,0,19,29,25,4],[0,0,0,0,0,0,1,21,77,0],[0,0,0,0,0,0,2,66,21,0],[0,0,0,0,0,0,1,31,62,0]]",0,0,0,0,0,0.14863619983196258,0.23514758515357972,0,0.0000055011093749999995,0,0
brief3_primary_gaussian-020_seed_20260809,20260809,recurrent,36,1568,1,2,gaussian,0.2,0.073,2.516920095668762,2.0471748343664173,"[0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.21839080459770116,0.21212121212121213,0.23595505617977527,0.0]","[[0,0,1,0,0,0,51,0,14,19],[0,0,1,0,0,0,0,122,3,0],[0,2,12,7,0,0,0,53,42,0],[0,1,16,0,0,0,2,24,57,7],[0,0,0,0,0,0,16,30,64,0],[0,0,2,0,0,0,8,30,44,3],[0,0,5,5,0,0,19,29,25,4],[0,0,0,0,0,0,1,21,77,0],[0,0,0,0,0,0,2,66,21,0],[0,0,0,0,0,0,1,31,62,0]]",1,0,0,0,0,0.14409489738941192,0.39546138215065,0,0.0000055011093749999995,999,0.999
brief3_primary_gaussian-020_seed_20260809,20260809,recurrent,36,1568,1,4,gaussian,0.2,0.073,3.278677383596687,1.378674547224953,"[0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.21839080459770116,0.21212121212121213,0.23595505617977527,0.0]","[[0,0,1,0,0,0,51,0,14,19],[0,0,1,0,0,0,0,122,3,0],[0,2,12,7,0,0,0,53,42,0],[0,1,17,0,0,0,2,23,57,7],[0,0,0,0,0,0,17,30,63,0],[0,0,2,0,0,0,8,30,44,3],[0,0,5,5,0,0,19,29,25,4],[0,0,0,0,0,0,1,21,77,0],[0,0,0,0,0,0,2,66,21,0],[0,0,0,0,0,0,1,31,62,0]]",1,0,0,0,0,0.1359540728330612,0.8180387315750122,0,0.0000055011093749999995,999,0.999
brief3_primary_gaussian-020_seed_20260809,20260809,recurrent,36,1568,1,8,gaussian,0.2,0.073,6.613469572951312,0.46145743771864894,"[0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.21839080459770116,0.21212121212121213,0.23595505617977527,0.0]","[[0,0,1,0,0,0,51,0,14,19],[0,0,1,0,0,0,0,122,3,0],[0,2,12,7,0,0,0,53,42,0],[0,1,17,0,0,0,2,23,57,7],[0,0,0,0,0,0,18,30,62,0],[0,0,2,0,0,0,8,30,44,3],[0,0,5,5,0,0,19,29,25,4],[0,0,0,0,0,0,1,21,77,0],[0,0,0,0,0,0,2,66,21,0],[0,0,0,0,0,0,2,30,62,0]]",1,0,0,0,0,0.12137147957086564,1.990417275428772,0,0.0000055011093749999995,999,0.999
brief3_primary_gaussian-020_seed_20260809,20260809,recurrent,36,1568,1,16,gaussian,0.2,0.073,16.11589685514418,0.1511809656284108,"[0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.21839080459770116,0.21212121212121213,0.23595505617977527,0.0]","[[0,0,1,0,0,0,52,0,13,19],[0,0,1,0,0,0,0,122,3,0],[0,2,12,7,0,0,0,53,42,0],[0,1,17,0,0,0,2,23,57,7],[0,0,0,0,0,0,18,30,62,0],[0,0,2,0,0,0,8,30,44,3],[0,0,5,5,0,0,19,29,25,4],[0,0,0,0,0,0,1,21,77,0],[0,0,0,0,0,0,2,66,21,0],[0,0,0,0,0,0,2,30,62,0]]",0,0,0,0,0,0.09628872960805893,5.129009929656982,0,0.0000055011093749999995,997,0.997
brief3_primary_gaussian-020_seed_20260809,20260809,recurrent,36,1568,1,32,gaussian,0.2,0.074,23.39135166091166,0.06248723744667477,"[0.0,0.0,0.11206896551724138,0.0,0.0,0.0,0.21839080459770116,0.21212121212121213,0.23595505617977527,0.0]","[[0,0,2,0,0,0,50,0,14,19],[0,0,1,0,0,0,0,122,3,0],[0,2,13,7,0,0,0,52,42,0],[0,1,16,0,0,0,2,24,57,7],[0,0,0,0,0,0,17,30,63,0],[0,0,2,0,0,0,8,30,44,3],[0,0,5,5,0,0,19,29,25,4],[0,0,0,0,0,0,1,21,77,0],[0,0,0,0,0,0,2,66,21,0],[0,0,0,0,0,0,2,30,62,0]]",0,0,0,0,0,0.0598706402182579,12.057793464660644,0,0.0000055011093749999995,868,0.868
brief3_primary_gaussian-030_seed_20260809,20260809,recurrent,36,1568,1,1,gaussian,0.3,0.076,2.3609301686828155,2.230883101057916,"[0.0,0.0,0.1206896551724138,0.0,0.0,0.0,0.20689655172413793,0.21212121212121213,0.25842696629213485,0.0]","[[0,0,2,1,0,0,47,1,13,21],[0,0,1,0,0,0,0,121,4,0],[0,2,14,7,0,0,0,52,40,1],[0,2,14,0,0,0,2,24,59,6],[0,0,0,0,0,0,18,30,62,0],[0,0,2,0,0,0,6,29,46,4],[0,0,5,4,0,0,18,31,23,6],[0,0,0,0,0,0,1,21,77,0],[0,0,0,0,0,0,1,64,23,1],[0,0,0,0,0,0,1,34,59,0]]",0,0,0,0,0,0.16106854009628296,0.27370412182807924,0,0.0000063872875,0,0
brief3_primary_gaussian-030_seed_20260809,20260809,recurrent,36,1568,1,2,gaussian,0.3,0.078,2.4856377729693757,2.082416395823286,"[0.0,0.0,0.12931034482758622,0.0,0.0,0.0,0.21839080459770116,0.21212121212121213,0.25842696629213485,0.0]","[[0,0,2,1,0,0,47,1,13,21],[0,0,1,0,0,0,0,122,3,0],[0,2,15,7,0,0,0,52,39,1],[1,1,14,0,0,0,2,24,59,6],[0,0,0,0,0,0,18,30,62,0],[0,0,2,0,0,0,6,29,46,4],[0,0,5,5,0,0,19,31,22,5],[0,0,0,0,0,0,1,21,77,0],[0,0,0,0,0,0,1,64,23,1],[0,0,0,0,0,0,1,34,59,0]]",5,2,0,0.0021645021645021645,0,0.15621887719631194,0.4612761311531066,0,0.0000063872875,995,0.995
