candidate,seed,mode,norm_t32,survival_t16,survival_t32,effective_rank_t32,cycle_period
candidate-0,101,autonomous,0.4559386264401151,0.6306091565781141,0.4141461138259581,3.9999866790959615,
candidate-0,101,driven,0.44626958787964555,0.6310310920086339,0.4147972170018853,3.9999865455615775,
candidate-0,202,autonomous,0.3803344733225722,0.6178127283887109,0.38425199509209085,3.9999659479152037,
candidate-0,202,driven,0.3794002686482218,0.6178112579413906,0.38424955524012216,3.9999659499424376,
candidate-0,303,autonomous,0.48553268590746873,0.5886158015165914,0.35148455248482596,3.9999653142061944,
candidate-0,303,driven,0.48501324045708816,0.5885267979397124,0.3513986754801008,3.999965277176005,
candidate-1,101,autonomous,0.4559386264401151,0.6306091565781141,0.4141461138259581,3.9999866790959615,
candidate-1,101,driven,0.4293987771912286,0.6316992582965556,0.4157343753638077,3.999986374849261,
candidate-1,202,autonomous,0.3803344733225722,0.6178127283887109,0.38425199509209085,3.9999659479152037,
candidate-1,202,driven,0.37770801473574267,0.6178068614377519,0.38424237413094803,3.999965960815446,
candidate-1,303,autonomous,0.48553268590746873,0.5886158015165914,0.35148455248482596,3.9999653142061944,
candidate-1,303,driven,0.4853726575588931,0.5883522092850924,0.35122259096353664,3.9999652873783336,
candidate-2,101,autonomous,0.4559386264401151,0.6306091565781141,0.4141461138259581,3.9999866790959615,
candidate-2,101,driven,0.41654480665818416,0.6321044268850786,0.4161379206432031,3.9999863367151094,
candidate-2,202,autonomous,0.3803344733225722,0.6178127283887109,0.38425199509209085,3.9999659479152037,
candidate-2,202,driven,0.3762536919761783,0.6178005288106146,0.38423213192686784,3.999965980762647,
candidate-2,303,autonomous,0.48553268590746873,0.5886158015165914,0.35148455248482596,3.9999653142061944,
candidate-2,303,driven,0.4875477142076152,0.5881828142928208,0.3510414880146737,3.9999654097014594,
candidate-3,101,autonomous,0.4523766649547337,0.6289732341344089,0.4118478364289284,3.9999871357348193,
candidate-3,101,driven,0.44352160749539804,0.6297313776340955,0.41303640197944597,3.9999868837913666,
candidate-3,202,autonomous,0.3803253051271704,0.6178317473391405,0.3842636667524002,3.9999659636143456,
candidate-3,202,driven,0.37939139129515953,0.6178287985512341,0.3842587865402301,3.9999659676658217,
candidate-3,303,autonomous,0.48385932539307697,0.5896912746707997,0.3520702225264765,3.9999660510186996,
candidate-3,303,driven,0.48338704637742075,0.5895233576992108,0.3519047031479136,3.999965979707668,
candidate-4,101,autonomous,0.4523766649547337,0.6289732341344089,0.4118478364289284,3.9999871357348193,
candidate-4,101,driven,0.4277318959307333,0.6309784531539546,0.41480141356736816,3.9999865603708478,
candidate-4,202,autonomous,0.3803253051271704,0.6178317473391405,0.3842636667524002,3.9999659636143456,
candidate-4,202,driven,0.37770007006580475,0.6178199964913497,0.38424443624669535,3.9999659893845454,
candidate-4,303,autonomous,0.48385932539307697,0.5896912746707997,0.3520702225264765,3.9999660510186996,
candidate-4,303,driven,0.48368921856516844,0.589195962628158,0.35156797771172443,3.9999660008272087,
candidate-5,101,autonomous,0.4523766649547337,0.6289732341344089,0.4118478364289284,3.9999871357348193,
candidate-5,101,driven,0.4154646602082615,0.6317675054545469,0.4155833521235265,3.9999864929207343,
candidate-5,202,autonomous,0.3803253051271704,0.6178317473391405,0.3842636667524002,3.9999659636143456,
candidate-5,202,driven,0.3762476104059193,0.6178073404567065,0.3842239957527149,3.9999660291891086,
candidate-5,303,autonomous,0.48385932539307697,0.5896912746707997,0.3520702225264765,3.9999660510186996,
candidate-5,303,driven,0.48556836226254246,0.5888820581430014,0.35122640629574703,3.9999662393479025,
candidate-6,101,autonomous,0.44617960683378827,0.6261586190048579,0.4078729491314743,3.9999879367201223,
candidate-6,101,driven,0.438699550808992,0.6273989058250466,0.40987836708189174,3.999987483489389,
candidate-6,202,autonomous,0.3803070575089508,0.6178691665245456,0.38428663613127884,3.9999659950169493,
candidate-6,202,driven,0.3793737286058334,0.6178632384872256,0.3842768742511176,3.9999660031079434,
candidate-6,303,autonomous,0.48075176550685844,0.5915877406498321,0.35316954289294583,3.9999674295930805,
candidate-6,303,driven,0.4803601433098096,0.591287547990184,0.3528617714320878,3.999967296836471,
candidate-7,101,autonomous,0.44617960683378827,0.6261586190048579,0.4078729491314743,3.9999879367201223,
candidate-7,101,driven,0.42477213784394025,0.6295863889267709,0.4130317817948406,3.999986897292687,
